ᐋ,U
ᐊᑯᑳᐧᑌᐤ,UkOkwUtew
ᐊᑯᓇᒼ,UkOnUm
ᐋᑰᓇᒼ,UkonUm
ᐊᑯᓇᒪᐁᐧᐤ,UkOnUmUwew
ᐊᑯᓀᐤ,UkOnew
ᐋᑰᓀᐤ,Ukonew
ᐊᑯᐸᔨᐦᐅᐤ,UkOpUyIhOw
ᐋᑰᐸᔨᐦᐅᐤ,UkopUyIhOw
ᐊᑯᐸᔨᐤ,UkOpUyIw
ᐊᑯᐱᒋᑫᐤ,UkOpItsIkew
ᐊᑯᐱᓯᐁᐧᐤ,UkOpIsIwew
ᐊᑯᐱᓱᐣ,UkOpIsOn
ᐊᑯᐱᓱᐤ,UkOpIsOw
ᐊᑯᐱᓱᐃᐧᐣ,UkOpIsOwIn
ᐊᑯᐱᑕᒼ,UkOpItUm
ᐋᑰᐱᑕᒼ,UkopItUm
ᐊᑯᐱᑕᒪᐁᐧᐤ,UkOpItUmUwew
ᐊᑯᐱᑕᒧᐃᐧᐣ,UkOpItUmOwIn
ᐊᑯᐱᑌᐤ,UkOpItew
ᐊᑯᐱᑎᓱᐤ,UkOpItIsOw
ᐋᑰᓯᒧᐤ,UkosImOw
ᐊᑯᓯᒧᐃᐧᐣ,UkOsImOwIn
ᐋᑰᓯᐯᔮᐤ,UkosIpeyUw
ᐊᑯᓰᐤ,UkOsiw
ᐊᑯᓯᐁᐧᐤ,UkOsIwew
ᐊᑯᓰᐃᐧᐣ,UkOsiwIn
ᐊᑯᐢᑲᒼ,UkOskUm
ᐊᑯᐢᑭᐊᐧᓴᒼ,UkOskIwUsUm
ᐊᑯᐢᑭᐊᐧᓯᑲᐣ,UkOskIwUsIkUn
ᐊᑯᐢᑭᐊᐧᓯᑫᐤ,UkOskIwUsIkew
ᐊᑯᐢᑕᐦᐊᒼ,UkOstUhUm
ᐊᑯᐢᑕᐦᐊᒪᐁᐧᐤ,UkOstUhUmUwew
ᐊᑯᐢᑕᐦᐅᐤ,UkOstUhOw
ᐊᑯᐢᑕᐦᐁᐧᐤ,UkOstUhwew
ᐋᑰᐢᑎᑳᐧᓀᐦᐁᐤ,UkostIkwUnehew
ᐋᑰᐢᑎᑳᐧᓀᐦᐅᐤ,UkostIkwUnehOw
ᐋᑰᐢᑎᑳᐧᓀᐤ,UkostIkwUnew
ᐊᑯᑕᒫᓱᐤ,UkOtUmUsOw
ᐊᑯᑕᒪᐁᐧᐤ,UkOtUmUwew
ᐊᑯᑖᐹᐣ,UkOtUpUn
ᐊᑯᑕᐢᑭᐦᑳᐧᐣ,UkOtUskIhkwUn
ᐊᑯᑕᐢᑭᐦᑭᐧᐤ,UkOtUskIhkwew
ᐊᑯᑖᐢᑯᒋᐣ,UkOtUskOtsIn
ᐊᑯᑖᐢᑲᐧᐦᐁᐧᐤ,UkOtUskwUhwew
ᐊᑯᑖᓱᐣ,UkOtUsOn
ᐊᑯᑖᐤ,UkOtUw
ᐊᑯᑌᐤ,UkOtew
ᐊᑯᑌᐤ,UkOtew
ᐊᑯᑎᐣ,UkOtIn
ᐊᑯᑎᓱᐤ,UkOtIsOw
ᐋᑰᐁᐧᐱᓇᒼ,UkowepInUm
ᐋᑰᐁᐧᐱᓀᐤ,UkowepInew
ᐋᑰᔮᐸᐦᐱᓱᐤ,UkoyUpUhpIsOw
ᐋᑰᔮᐸᐦᐱᑌᐤ,UkoyUpUhpItew
ᐋᑰᔮᐸᐦᐱᑎᓱᐤ,UkoyUpUhpItIsOw
ᐋᑳᐧᐨ,UkwUts
ᐋᑲᐧᐦᐊᒼ,UkwUhUm
ᐊᑲᐧᐦᐊᒼ,UkwUhUm
ᐊᑲᐧᐦᐊᒪᐁᐧᐤ,UkwUhUmUwew
ᐊᑲᐧᐦᐃᑲᓀᑭᐣ,UkwUhIkUnekIn
ᐊᑲᐧᐦᐃᑫᐤ,UkwUhIkew
ᐋᑳᐧᐦᑲᑐᓱᐤ,UkwUhkUtOsOw
ᐋᑳᐧᐦᑲᑐᑌᐤ,UkwUhkUtOtew
ᐊᑳᐧᐦᐅᓈᐦᑎᐠ,UkwUhOnUhtIk
ᐊᑲᐧᐦᐅᓈᐣ,UkwUhOnUn
ᐊᑳᐧᐦᐅᓂᐦᑕᐠ,UkwUhOnIhtUk
ᐊᑲᐧᐦᐅᐤ,UkwUhOw
ᐊᑲᐧᐦᐱᒋᑫᐤ,UkwUhpItsIkew
ᐊᑲᐧᐦᐱᓯᐁᐧᐤ,UkwUhpIsIwew
ᐊᑲᐧᐦᐱᓱᐤ,UkwUhpIsOw
ᐊᑲᐧᐦᐱᑕᒼ,UkwUhpItUm
ᐊᑲᐧᐦᐱᑕᒪᐁᐧᐤ,UkwUhpItUmUwew
ᐊᑲᐧᐦᐱᑌᐤ,UkwUhpItew
ᐊᑲᐧᐦᐱᑌᐤ,UkwUhpItew
ᐊᑲᐧᐦᐁᐧᐤ,UkwUhwew
ᐊᑳᐧᐦᐁᐧᐤ,UkwUhwew
ᐋᑲᐧᐦᐁᐧᐤ,UkwUhwew
ᑲᑳᐧᔭᑭᓈᑫᐤ,UkwUhyUkInUkew
ᐊᑳᐧᑯᐦᑎᐣ,UkwUkOhtIn
ᐊᑳᐧᑯᒫᑯᓯᐤ,UkwUkOmUkOsIw
ᐊᑳᐧᑯᒫᑲᐧᐣ,UkwUkOmUkwUn
ᐊᑳᐧᑯᐱᕀ,UkwUkOpIy
ᐊᑳᐧᑯᓯᐤ,UkwUkOsIw
ᐊᑳᐧᒥᓇᑲᓯᕀ,UkwUmInUkUsIy
ᐊᑲᐧᒧᐦᒋᑫᐤ,UkwUmOhtsIkew
ᐊᑲᐧᒧᐦᒋᑫᐃᐧᐣ,UkwUmOhtsIkewIn
ᐊᑲᐧᒧᐦᐁᐤ,UkwUmOhew
ᐊᑲᐧᒧᐦᑖᐤ,UkwUmOhtUw
ᐊᑲᐧᒧᐣ,UkwUmOn
ᐊᑲᐧᒧᐤ,UkwUmOw
ᐊᑲᐧᒧᐃᐧᐣ,UkwUmOwIn
ᐊᑲᐧᓇᐦᐊᒼ,UkwUnUhUm
ᐊᑲᐧᓇᐦᐊᒪᐁᐧᐤ,UkwUnUhUmUwew
ᐊᑲᐧᓇᐦᐁᐤ,UkwUnUhew
ᐊᑲᐧᓇᐦᐃᑲᐣ,UkwUnUhIkUn
ᐊᑲᐧᓇᐦᐃᑫᐤ,UkwUnUhIkew
ᐊᑲᐧᓇᐦᐃᑫᐃᐧᐣ,UkwUnUhIkewIn
ᐊᑲᐧᓈᐦᑫᐧᐦᑌᐤ,UkwUnUhkwehtew
ᐊᑲᐧᓈᐦᑫᐧᓀᐤ,UkwUnUhkwenew
ᐊᑲᐧᓈᐦᑫᐧᓯᒣᐤ,UkwUnUhkwesImew
ᐊᑲᐧᓈᐦᑫᐧᓯᐣ,UkwUnUhkwesIn
ᐊᑲᐧᓈᐦᑫᐧᐤ,UkwUnUhkwew
ᐊᑲᐧᓈᐦᑫᐧᔮᒧᐤ,UkwUnUhkweyUmOw
ᐊᑲᐧᓇᐦᐅᐣ,UkwUnUhOn
ᐊᑲᐧᓇᐦᐅᓱᐤ,UkwUnUhOsOw
ᐊᑲᐧᓇᐦᐅᐤ,UkwUnUhOw
ᐊᑲᐧᓇᐦᐅᐃᐧᐣ,UkwUnUhOwIn
ᐊᑲᐧᓇᐦᐁᐧᐤ,UkwUnUhwew
ᐊᑳᐧᓇᒼ,UkwUnUm
ᐊᑲᐧᓈᐣ,UkwUnUn
ᐊᑲᐧᓈᐳᐁᐧᐦᐊᒼ,UkwUnUpOwehUm
ᐊᑲᐧᓈᐳᐁᐧᐦᐃᑲᐣ,UkwUnUpOwehIkUn
ᐊᑲᐧᓈᐳᐁᐧᐦᐃᑳᓱᓯᐤ,UkwUnUpOwehIkUsOsIw
ᐊᑲᐧᓈᐳᐁᐧᐦᐃᑳᓱᐤ,UkwUnUpOwehIkUsOw
ᐊᑲᐧᓈᐳᐁᐧᐦᐃᑫᐤ,UkwUnUpOwehIkew
ᐊᑲᐧᓈᓯᐤ,UkwUnUsIw
ᐊᑳᐧᓀᐤ,UkwUnew
ᐊᑲᐧᓀᔮᓯᐤ,UkwUneyUsIw
ᐊᑳᐧᐱᒋᑫᐤ,UkwUpItsIkew
ᐊᑳᐧᐱᓇᒼ,UkwUpInUm
ᐊᑳᐧᐱᓀᐤ,UkwUpInew
ᐊᑳᐧᐱᓯᐁᐧᐤ,UkwUpIsIwew
ᐊᑳᐧᐱᑕᒼ,UkwUpItUm
ᐊᑳᐧᐱᑌᐤ,UkwUpItew
ᐊᑲᐧᐢᒋᑫᐃᐧᐣ,UkwUstsIkewIn
ᐊᑳᐧᓯᐁᐧᐸᐦᐊᒼ,UkwUsIwepUhUm
ᐊᑲᐧᐢᐠ,UkwUsk
ᐋᑲᐧᐢᐠ,UkwUsk
ᐋᑳᐧᐢᑲᒼ,UkwUskUm
ᐋᑳᐧᐢᑲᒼ,UkwUskUm
ᐋᑳᐧᐢᑲᐁᐧᐤ,UkwUskUwew
ᐋᑲᐧᐢᑭᑳᐸᐃᐧᐤ,UkwUskIkUpUwIw
ᐋᑲᐧᐢᑭᐸᐦᑖᐤ,UkwUskIpUhtUw
ᐋᑲᐧᐢᑭᐸᔨᐦᐅᐤ,UkwUskIpUyIhOw
ᐋᑲᐧᐢᑭᐢᑲᐁᐧᐤ,UkwUskIskUwew
ᐋᑲᐧᐢᑭᑎᓇᒼ,UkwUskItInUm
ᐋᑲᐧᐢᑭᑎᓀᐤ,UkwUskItInew
ᐋᑲᐧᐢᑭᑎᓂᑫᐤ,UkwUskItInIkew
ᐋᑲᐧᐢᑭᑎᓂᑫᐃᐧᐣ,UkwUskItInIkewIn
ᐋᑲᐧᐢᑭᑎᓂᑐᐊᐧᐠ,UkwUskItInItOwUk
ᐋᑲᐧᐢᑭᑎᓂᑐᐃᐧᐣ,UkwUskItInItOwIn
ᐋᑲᐧᐢᑭᑎᓂᐁᐧᐤ,UkwUskItInIwew
ᐋᑲᐧᐢᑮᐤ,UkwUskiw
ᐋᑲᐧᐢᑯᐦᑌᐤ,UkwUskOhtew
ᐊᑲᐧᐢ,UkwUstew
ᐋᑳᐧᑕᐢᑭᓀᐤ,UkwUtUskInew
ᐊᑳᐧᑕᐢᑭᓀᐤ,UkwUtUskInew
ᐊᑳᐧᐋᐧᐣ,UkwUwUn
ᐊᑳᐧᐋᐧ,UkwUwUnUhtsIkOs
ᐊᑳᐧᐋᐧᓂᐦᑫᐤ,UkwUwUnIhkew
ᐊᑳᐧᐁᐧᐸᐦᐁᐧᐤ,UkwUwepUhwew
ᐊᑳᐧᐁᐧᐤ,UkwUwew
ᐊᑳᐧᔮᐦᐅᑯᐤ,UkwUyUhOkOw
ᐊᑳᐧᔮᐦᐅᑌᐤ,UkwUyUhOtew
ᐊᑳᐧᔮᐦᑎᐠ,UkwUyUhtIk
ᐊᑳᐧᔮᓯᐤ,UkwUyUsIw
ᐊᑳᐧᔮᓱᐤ,UkwUyUsOw
ᐊᑳᐧᔮᐢᑕᐣ,UkwUyUstUn
ᐋᑳᐧᔮᐤ,UkwUyUw
ᐊᑫᐧᔨᐦᑕᒪᐁᐧᐤ,UkweyIhtUmUwew
ᐊᑫᐧᔨᒣᐤ,UkweyImew
ᐋᒪᒋᐁᐧᐦᑕᒋᑫᐤ,UmUtsIwehtUtsIkew
ᐋᒪᒋᐁᐧᐦᑕᐦᐁᐤ,UmUtsIwehtUhew
ᐋᒪᒋᐁᐧᐦᑕᐦᐃᐁᐧᐤ,UmUtsIwehtUhIwew
ᐋᒪᒋᐁᐧᐦᑕᑖᐤ,UmUtsIwehtUtUw
ᐋᒪᒋᐁᐧᐸᐦᐁᐤ,UmUtsIwepUhew
ᐋᒪᒋᐁᐧᐸᐦᑖᐤ,UmUtsIwepUhtUw
ᐋᒪᒋᐁᐧᐸᔨᐤ,UmUtsIwepUyIw
ᐋᒪᒋᐁᐧᐱᒋᑲᐣ,UmUtsIwepItsIkUn
ᐋᒪᒋᐁᐧᐱᑕᒼ,UmUtsIwepItUm
ᐋᒪᒋᐁᐧᐱᑌᐤ,UmUtsIwepItew
ᐋᒪᒋᐁᐧᐢᐱᒧᐃᐧᓂᕁ,UmUtsIwespImOwInIhk
ᐋᒪᒋᐁᐧᑖᒋᒧᐤ,UmUtsIwetUtsImOw
ᐋᒪᒋᐁᐧᑖᐹᓱᐤ,UmUtsIwetUpUsOw
ᐋᒪᒋᐁᐧᑐᐊᐧᐦᐁᐤ,UmUtsIwetOwUhew
ᐋᒪᒋᐁᐧᑐᐊᐧᑖᐤ,UmUtsIwetOwUtUw
ᐋᒪᒋᐁᐧᑐᐊᐧᑌᐤ,UmUtsIwetOwUtew
ᐋᒪᒋᐁᐧᐤ,UmUtsIwew
ᐋᒪᒋᐁᐧᐃᐧᐣ,UmUtsIwewIn
ᐋᒪᒋᐁᐧᔮᐦᑕᐄᐧᐤ,UmUtsIweyUhtUwiw
ᐋᒪᒋᐄᐧᐢᐱᒧᐃᐧᓂᕁ,UmUtsIwispImOwInIhk
ᐋᒫᐦᐊᒪᐁᐧᐤ,UmUhUmUwew
ᐋᒫᐦᒋᑫᐤ,UmUhtsIkew
ᐋᒫᐦᐁᐤ,UmUhew
ᐋᒫᐦᐃᐁᐧᐤ,UmUhIwew
ᐋᒫᐦᑖᐤ,UmUhtUw
ᐋᒫᒣᐤ,UmUmew
ᐋᒪᑎᓲᐢᑕᒼ,UmUtIsostUm
ᐋᒫᐁᐧᐦᒋᑫᐤ,UmUwehtsIkew
ᐋᒫᐁᐧᐦᑖᐤ,UmUwehtUw
ᐋᒫᐁᐧᑲᐦᐃᑫᐤ,UmUwekUhIkew
ᐋᒫᐁᐧᓯᑫᐤ,UmUwesIkew
ᐋᒫᐁᐧᓭᐧᐤ,UmUweswew
ᐋᒦ,Umi
ᐊᒥᐢᐠ,UmIsk
ᐊᒥᐢᑯᐦᐆᓯᐊᐧᔮᐣ,UmIskOhosIwUyUn
ᐊᒥᐢᑯᒥᐣ,UmIskOmIn
ᐊᒥᐢᑯᒥᓈᓈᐦᑎᐠ,UmIskOmInUnUhtIk
ᐊᒥᐢᑯᓯᑊ,UmIskOsIp
ᐊᒥᐢᑯᓰᐢ,UmIskOsis
ᐊᒥᐢᑯᓱᕀ,UmIskOsOy
ᐊᒥᐢᑯᐃᐧᐤ,UmIskOwIw
ᐊᒥᐢᑯᐃᐧᔮᐢ,UmIskOwIyUs
ᐊᒥᐢᑯᐃᐧᔨᓂᐤ,UmIskOwIyInIw
ᐊᒥᐢᑲᐧᒌᐃᐧᔨᓂᐊᐧᐠ,UmIskwUtsiwIyInIwUk
ᐊᒥᐢᑲᐧᔮᐣ,UmIskwUyUn
ᐊᒥᐢᑲᐧᔮᓀᐢᒍᒋᓂᐢ,UmIskwUyUnestsOtsInIs
ᐊᒥᐢᑳᐧᔪᐤ,UmIskwUyOw
ᐋᒦᐤ,Umiw
ᐋᒥᕀ,UmIy
ᐋᒨᐢ,Umos
ᐋᒨᓰᐦᒋᑲᐣ,UmosihtsIkUn
ᐋᒨᓯᐢ,UmosIs
ᐋᒨᓰᓯᐹᐢᑲᐧᐟ,UmosisIpUskwUt
ᐋᒨᐢᑳᐤ,UmoskUw
ᐋᒧᐤ,UmOw
ᐊᓇ,UnU
ᐊᓇᑲᐧᕀ,UnUkwUy
ᐊᓈᐢᑳᐦᑌᐤ,UnUskUhtew
ᐊᓈᐢᑳᑫᐤ,UnUskUkew
ᐊᓈᐢᑳᐣ,UnUskUn
ᐊᓈᐢᑳᓈᐦᑎᐠ,UnUskUnUhtIk
ᐊᓈᐢᑳᓈᐦᑎᑲᐧ,UnUskUnUhtIkwU
ᐊᓈᐢᑳᓂᐦᑕᐠ,UnUskUnIhtUk
ᐊᓈᐢᑳᓂᐢ,UnUskUnIs
ᐊᓈᐢᑳᓯᒧᐣ,UnUskUsImOn
ᐊᓈᐢᑲᓱᐣ,UnUskUsOn
ᐊᓈᐢᑲᓱᐤ,UnUskUsOw
ᐊᓈᐢᑲᓱᐃᐧᐣ,UnUskUsOwIn
ᐊᓈᐢᑳᑕᒼ,UnUskUtUm
ᐊᓈᐢᑳᑌᐤ,UnUskUtew
ᐊᓈᐢᑫᐢᑕᒪᐁᐧᐤ,UnUskestUmUwew
ᐊᓈᐢᑫᐤ,UnUskew
ᐊᓈᐢᑫᐃᐧᐣ,UnUskewIn
ᐊᓂ,UnI
ᐊᓂᐦᐃ,UnIhI
ᐊᓂᐦᐃ,UnIhI
ᐊᓂᑭ,UnIkI
ᐊᓂᑲᐧᒑᐢ,UnIkwUtsUs
ᐊᓂᒪ,UnImU
ᐊᓂᒪ,UnImU
ᐊᓂᒣᔨᐤ,UnImeyIw
ᐊᓂᓯ,UnIsI
ᐊᓂᓯ ᐃᓯ,UnIsI IsI
ᐋᓂᓰᐦᒋᒋᑲᐣ,UnIsihtsItsIkUn
ᐋᓂᓰᐦᑖᐤ,UnIsihtUw
ᐋᓂᐢᑲᒫᒋᑫᐤ,UnIskUmUtsIkew
ᐋᓂᐢᑲᒫᐣ,UnIskUmUn
ᐋᓂᐢᑲᒫᓯᐁᐧᐤ,UnIskUmUsIwew
ᐋᓂᐢᑲᒫᑌᐤ,UnIskUmUtew
ᐋᓂᐢᑲᒫᑎᓱᐤ,UnIskUmUtIsOw
ᐋᓂᐢᑫ,UnIske
ᐋᓂᐢᑫᑕᐢᑖᐤ,UnIsketUstUw
ᐋᓂᐢᑯᐦᐃᑲᐣ,UnIskOhIkUn
ᐋᓂᐢᑰᐦᐆᒋᑲᐣ,UnIskohotsIkUn
ᐋᓂᐢᑯᐦᐱᒋᑳᑲᐣ,UnIskOhpItsIkUkUn
ᐋᓂᐢᑯᐦᐱᒋᑲᐣ,UnIskOhpItsIkUn
ᐋᓂᐢᑯᐦᐱᑕᒼ,UnIskOhpItUm
ᐋᓂᐢᑯᐦᐱᑌᐤ,UnIskOhpItew
ᐋᓂᐢᑯᐦᐱᑌᐤ,UnIskOhpItew
ᐋᓂᐢᑯᐦᑖᐤ,UnIskOhtUw
ᐋᓂᐢᑯᑲᓈᐣ,UnIskOkUnUn
ᐋᓂᐢᑯᑳᐧᑕᒼ,UnIskOkwUtUm
ᐋᓂᐢᑰᒧᐦᒋᑲᐣ,UnIskomOhtsIkUn
ᐋᓂᐢᑰᐱᑕᒼ,UnIskopItUm
ᐋᓂᐢᑯᐢᒋᑫᐤ,UnIskOstsIkew
ᐋᓂᐢᑰᐢᑭᑌᐤ,UnIskoskItew
ᐋᓂᐢᑯᐢᑌᐤ,UnIskOstew
ᐋᓂᐢᑯᑖᐹᐣ,UnIskOtUpUn
ᐋᓂᐢᑯᑖᐹᐣ,UnIskOtUpUn
ᐋᓂᐢᑯᑖᐯᐤ,UnIskOtUpew
ᐋᓂᐢᑯᐊᐧᐢᑳᐤ,UnIskOwUskUw
ᐋᓂᐢᑯᐊᐧᐢᑯᐢᑳᐤ,UnIskOwUskOskUw
ᐋᓂᐢᑯᐊᐧᐢᑲᐧ,UnIskOwUskwU
ᐊᓂᑕ,UnItU
ᐊᓂᑕ ᐃᑌᐦᑫ ᐃᓯ,UnItU Itehke IsI
ᐊᓂᑌ,UnIte
ᐊᓂᔦ,UnIye
ᐊᓄᐦᐨ,UnOhts
ᐊᓄᐦᐨ ᐱᑯ,UnOhts pIkO
ᐊᓄᐦᒋᐦᑫ,UnOhtsIhke
ᐊᓄᐦᐟ,UnOht
ᐊᓅᒥᐣ,UnomIn
ᐋᓀᐧᐦᒋᑳᑌᐤ,UnwehtsIkUtew
ᐋᓀᐧᐦᒋᑫᐃᐧᐣ,UnwehtsIkewIn
ᐋᓀᐧᐦᑕᒼ,UnwehtUm
ᐋᓀᐧᐦᑕᒧᐃᐧᐣ,UnwehtUmOwIn
ᐋᓀᐧᐦᑕᐢᑭᐤ,UnwehtUskIw
ᐋᓀᐧᐦᑖᓱᐤ,UnwehtUsOw
ᐋᓀᐧᐦᑕᐁᐧᐤ,UnwehtUwew
ᐋᓀᐧᐦᑕᒧᐃᐧᐣ,UnweyIhtUmOwIn
ᐋᐸᒋᐦᒋᑲᐣ,UpUtsIhtsIkUn
ᐋᐸᒋᐦᒋᑲᓂᐢ,UpUtsIhtsIkUnIs
ᐋᐸᒋᐦᒋᑳᑌᐤ,UpUtsIhtsIkUtew
ᐋᐸᒋᐦᐁᐤ,UpUtsIhew
ᐋᐸᒋᐦᐃᓱᐤ,UpUtsIhIsOw
ᐋᐸᒋᐦᐃᑐᐃᐧᐣ,UpUtsIhItOwIn
ᐋᐸᒋᐦᐃᐁᐧᐤ,UpUtsIhIwew
ᐋᐸᒋᐦᐃᐁᐧᐃᐧᐣ,UpUtsIhIwewIn
ᐋᐸᒋᐦᐅᐤ,UpUtsIhOw
ᐋᐸᒋᐦᐅᐃᐧᐣ,UpUtsIhOwIn
ᐋᐸᒋᐦᑕᒨᐦᐁᐤ,UpUtsIhtUmohew
ᐋᐸᒋᐦᑖᐤ,UpUtsIhtUw
ᐋᐸᒋᐦᑖᐃᐧᐣ,UpUtsIhtUwIn
ᐋᐸᐦᐊᒼ,UpUhUm
ᐋᐸᐦᐊᒪᐁᐧᐤ,UpUhUmUwew
ᐋᐸᐦᐊᐢᑎᒣᐧᐤ,UpUhUstImwew
ᐋᐸᐦᐃᑲᐣ,UpUhIkUn
ᐋᐸᐦᐃᑲᓂᐢ,UpUhIkUnIs
ᐋᐸᐦᐃᑳᓱᐤ,UpUhIkUsOw
ᐋᐸᐦᐃᑳᑌᐤ,UpUhIkUtew
ᐋᐸᐦᐃᑫᐤ,UpUhIkew
ᐋᐸᐦᐃᑫᐃᐧᐣ,UpUhIkewIn
ᐋᐸᐦᑲᐃᐧᐦᐁᐤ,UpUhkUwIhew
ᐋᐸᐦᑲᐃᐧᓯᐤ,UpUhkUwIsIw
ᐊᐸᐦᑳᐧᒌᐢ,UpUhkwUtsis
ᐊᐸᐦᑳᐧᐣ,UpUhkwUn
ᐊᐸᐦᑳᐧᓇᐢᑯᓯᔭ,UpUhkwUnUskOsIyU
ᐊᐸᐦᑳᐧᓀᑭᐣ,UpUhkwUnekIn
ᐊᐸᐦᑳᐧᓂᐢ,UpUhkwUnIs
ᐊᐸᐦᑳᐧᓱᐣ,UpUhkwUsOn
ᐊᐸᐦᑳᐧᓱᓀᑭᐣ,UpUhkwUsOnekIn
ᐊᐸᐦᑳᐧᓱᓀᑭᓄᐢ,UpUhkwUsOnekInOs
ᐊᐸᐦᑳᐧᑕᒼ,UpUhkwUtUm
ᐊᐸᐦᑳᐧᑕᒪᐁᐧᐤ,UpUhkwUtUmUwew
ᐊᐸᐦᑳᐧᑌᐤ,UpUhkwUtew
ᐊᐸᐦᑳᐧᐤ,UpUhkwUw
ᐊᐸᐦᑫᐧᐤ,UpUhkwew
ᐊᐸᐦᑫᐧᐃᐧᑲᒥᐠ,UpUhkwewIkUmIk
ᐋᐸᐦᐆᓂᑲᐣ,UpUhonIkUn
ᐋᐸᐦᐆᓂᑲᓂᐢ,UpUhonIkUnIs
ᐋᐸᐦᐆᓂᑫᐃᐧᐣ,UpUhonIkewIn
ᐋᐸᐦᐆᐸᔨᐤ,UpUhopUyIw
ᐋᐸᐦᐆᐢᑌᐦᐊᒼ,UpUhostehUm
ᐋᐸᐦᐆᐢᑌᐦᐃᑲᐣ,UpUhostehIkUn
ᐋᐸᐦᐆᐢᑌᐦᐁᐧᐤ,UpUhostehwew
ᐋᐸᐦᐁᐧᐤ,UpUhwew
ᐋᐸᑯᓰᐢ,UpUkOsis
ᐋᐸᑯᓰᓯᐃᐧᐤ,UpUkOsisIwIw
ᐋᐹᐱᐢᑲᐦᐊᒼ,UpUpIskUhUm
ᐋᐹᐱᐢᑲᐦᐃᑲᐣ,UpUpIskUhIkUn
ᐋᐸᓵᐸᐦᑕᒼ,UpUsUpUhtUm
ᐋᐸᓵᐸᒣᐤ,UpUsUpUmew
ᐋᐸᓵᐱᐤ,UpUsUpIw
ᐊᐸᓱᕀ,UpUsOy
ᐊᐸᓱᔮᐦᑎᐠ,UpUsOyUhtIk
ᐋᐸᑕᐣ,UpUtUn
ᐋᐸᑌᔨᐦᒋᑫᐤ,UpUteyIhtsIkew
ᐋᐸᑌᔨᐦᒋᑫᐤ,UpUteyIhtsIkew
ᐋᐸᑌᔨᐦᑖᑯᓯᐤ,UpUteyIhtUkOsIw
ᐋᐸᑌᔨᐦᑕᒼ,UpUteyIhtUm
ᐋᐸᑌᔨᐦᑕᒧᐃᐧᐣ,UpUteyIhtUmOwIn
ᐋᐸᑌᔨᒣᐤ,UpUteyImew
ᐋᐸᑌᔨᒥᐁᐧᐤ,UpUteyImIwew
ᐋᐸᑎᓯᐤ,UpUtIsIw
ᐋᐸᑎᓯᐃᐧᐣ,UpUtIsIwIn
ᐋᐯᐦᐅᐤ,UpehOw
ᐋᐯᐦᐅᐃᐧᐣ,UpehOwIn
ᐊᐱᐦᐁᐤ,UpIhew
ᐊᐱᐦᑳᒋᑫᐤ,UpIhkUtsIkew
ᐊᐱᐦᑳᒋᑫᐃᐧᐣ,UpIhkUtsIkewIn
ᐊᐱᐦᑳᐣ,UpIhkUn
ᐊᐱᐦᑳᑕᒼ,UpIhkUtUm
ᐊᐱᐦᑳᑕᒪᐁᐧᐤ,UpIhkUtUmUwew
ᐊᐱᐦᑳᑌᐤ,UpIhkUtew
ᐊᐱᐦᑳᑌᐤ,UpIhkUtew
ᐊᐱᐦᑫᐱᒋᑲᐣ,UpIhkepItsIkUn
ᐊᐱᐦᑫᐢ,UpIhkes
ᐊᐱᐦᑫᓰᐢ,UpIhkesis
ᐊᐱᐦᑫᐢᑕᒪᐁᐧᐤ,UpIhkestUmUwew
ᐊᐱᐦᑫᐤ,UpIhkew
ᐊᐱᐦᑫᐃᐧᐣ,UpIhkewIn
ᐋᐱᐦᑯᐦᐅᐤ,UpIhkOhOw
ᐋᐱᐦᑯᐦᑖᐤ,UpIhkOhtUw
ᐋᐱᐦᑯᑲᐦᐊᒼ,UpIhkOkUhUm
ᐋᐱᐦᑯᑲᐦᐃᑲᐣ,UpIhkOkUhIkUn
ᐋᐱᐦᑯᓇᒼ,UpIhkOnUm
ᐋᐱᐦᑯᓀᐤ,UpIhkOnew
ᐋᐱᐦᑯᓂᓱᐤ,UpIhkOnIsOw
ᐋᐱᐦᑯᐸᔨᐤ,UpIhkOpUyIw
ᐋᐱᐦᑯᐱᑕᒼ,UpIhkOpItUm
ᐋᐱᐦᑯᐱᑌᐤ,UpIhkOpItew
ᐋᐱᐦᑯᑌᐤ,UpIhkOtew
ᐋᐱᐦᑲᐧᐦᐊᒼ,UpIhkwUhUm
ᐋᐱᐦᑲᐧᐦᐃᑲᐣ,UpIhkwUhIkUn
ᐋᐱᐦᑲᐧᐦᐃᑲᓂᐢ,UpIhkwUhIkUnIs
ᐋᐱᐦᑲᐧᐦᑕᒼ,UpIhkwUhtUm
ᐋᐱᐦᐟ,UpIht
ᐋᐱᐦᑕᐤ,UpIhtUw
ᐋᐱᐦᑖᐤ,UpIhtUw
ᐋᐱᐦᑕᐊᐧᑳᒼ,UpIhtUwUkUm
ᐋᐱᐦᑕᐊᐧᑭᒫᐤ,UpIhtUwUkImUw
ᐋᐱᐦᑕᐊᐧᓄᕁ,UpIhtUwUnOhk
ᐋᐱᐦᑕᐋᐧᔨᕁ,UpIhtUwUyIhk
ᐋᐱᐦᑕᐃᐧᑯᓯᓵᐣ,UpIhtUwIkOsIsUn
ᐋᐱᐦᑕᐃᐧᑯᓯᓵᓇᐢᑭᕀ,UpIhtUwIkOsIsUnUskIy
