ཧ་ཅང་བཟང་།,ha txaq zaq
རླུང་འཚུབ།,luq tshub
སེར་བ།,sEr wa
སྐྲ།,ta
ལག་པ།,lag pa
རི་བོང་།,ri boq
མགོ།,go
མཇུག་མ།,djug ma
སེམས་པ།,sEm pa
groundhog,ཟེར་མོ།,zER mo
རི།,ri
གནམ་གྱི་མཐའ་མཚམས།,Nam gyi ca tsham
འཁྱགས་པ།,khyag pa
མཚོ།,tsho
ས་ཆ།,sa txha
ལོ་མ།,lo ma
རྐང་པ།,kaq pa
མཆུ་ཏོ།,txhu To
རྩངས་པ་ཁ་རལ།,tsaq pa kha ral
གཟའ་ཆེན་མིག་དམར།,za txhEn mig mMaR
འཛམ་གླིང་།,dzam liq
གཟའ་ཆེན་པ་སངས།,za txhEn pa saq
གཟའ་ཆེན་སྤེན་པ།,za txhEn pEn pa
way galaxy,དགུ་ཚིགས་ཁྱིམ་རྒྱུད།,gu tsig khim gyu
ཟླ་བ།,Ca wa
ཉི་མ།,nyima
སྐར་མ།,kaR ma
རྒྱུ་སྐར།,gyu kaR
ལྕགས།,txag
རྒྱ་མཚོ།,gya tso
གངས་རི།,gaq ri
ཁ།,kha
མཇིང་པ།,djiq pa
སྣ།,Na
བསྟར་ཀ།།,TaR ka
space,ཕྱི་རིམ་བར་སྟོང་།,txhi rim baR Toq
རྫིང་བུ།,dziq bu
ཆར་པ།,txhaR pa
རྒྱ་ལམ།,gya lam
བྲག་རྡོ།,dag Co
mouse,ཙི་ཙི།,tsi tsi
བྱེ་མ།,djE ma
ཁྱིའི་ཟུག་སྐད།,khI zug ke
འཐམ་པ།,cam pa
འོ།,hho
དཔེ་ཁུག,pE khug
སྤོ་ལོ།,po lo
གྲུ།,du
དེབ།,Ceb
ཤེལ་དམ།,xEl Cam
ཕོར་པ།,phoR pa
སྒམ།,gam
བག་ལེབ།,bag leb
ཟོམ།,zom
པར་ཆས།,par txhe
ལོ་ཐོ།,lo co
ཆུ་ཚོད་འཁོར་ལོ།,txhu txoe khoR lo
སྣོད།,Noe
ཕྱུ་ར།,txhu ra
བྱ་ཤ།།,dja xa
གླང་ཤ།,laq xa
ཕོར་པ།,phoR pa
plate,སྡེར་མ།,CER ma
